;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;tschun;fremden;all;peking;taitai;china;chinesischen;kaiserin;kaiser;alten;new;chinesen;kuang;alte;yin;tzü;antwortete;york;petang;letzten;herren;paar;stadt;hohen;yang;mutter;eigentlich;hsi;standen;offenbar;stets;plötzlich;bischof;schen;madame;ta-jen;soldaten;sogar;hung;dinge;ward;sin;sicher;allerhand;mal;chinesische;mußte;ta;kamen;solch;land;tempel;pekinger;li;weiss;langen;einst;fremde;augenblick;freund;europa;gesehen;schienen;boxer;straßen;allmählich;längst;rasch;fernen;priester;hörte;gesandtschaften;gesandtschaft;tschuns;onkel;stand;glauben;verwandten;sommerpalast;lien;christen;nachrichten;kang;mauern;gesandten;boden;menge;kwang;wesen;nonnen;ho;lag;zeiten;hof;zeitungen;inmitten;miss;seltsam;retten;lande
Topic 1;augen;nacht;ließ;hände;kopf;stimme;himmel;arm;lag;mußte;rief;hörte;heraus;plötzlich;langen;draußen;sprach;saß;sonne;hielt;wasser;zog;laut;guten;blieb;alte;sprang;blut;schwarzen;boden;lachte;alten;händen;langsam;hinein;fuhr;liegen;herum;fiel;kind;brust;fest;schloß;halten;schritt;haar;land;rücken;licht;arme;luft;stieg;gesicht;letzten;trug;warf;nieder;nickte;brachte;hals;stille;grauen;weiße;roten;letzte;armen;lachen;schweigen;weißen;schatten;arbeit;stadt;hohen;schob;weile;überall;seite;stirn;füßen;entgegen;freundlich;ruhe;nahe;dinge;hinauf;drüben;schlug;wand;verstand;schüttelte;feuer;hing;reich;herren;führte;schwarze;schönen;wußte;dunklen;heißen
Topic 2;vater;mutter;wußte;mußte;fragte;arne;stand;gesicht;hand;art;jungen;mädchen;liebe;gedanken;hause;sprach;plötzlich;hielt;dachte;schien;erzählte;alten;gefühl;wolle;kamen;ließ;legte;fenster;fand;junge;fühlte;arbeit;kind;saß;wesen;könne;begann;worte;fiel;schließlich;eltern;müsse;klar;tisch;blick;nämlich;zog;standen;zeigte;alte;blieb;trat;herz;dinge;einfach;lag;weise;wiebke;setzte;fast;gingen;geschah;kinder;zimmer;solle;bekam;gesellschaft;stellte;vaters;hörte;wasser;genau;tür;freude;lebte;natur;meinte;ehe;zuletzt;suchte;las;fest;schnell;tränen;glaubte;licht;stück;denke;saßen;bat;herzen;karl;rasch;versuchte;augenblick;brachte;paar;sorgen;offenbar;vorher
Topic 3;andreas;stand;hand;gesicht;maria;zimmer;blick;haus;brief;wesen;tür;liebe;fast;malteser;augenblick;mund;mariquita;person;sacramozo;völlig;seele;trat;gräfin;mutter;kirche;schien;romana;lag;anderes;fenster;dame;bett;wußte;junge;gleichen;traum;gedanken;treppe;begriff;schön;pferd;art;tochter;müßte;jungen;weise;platz;fühlte;denken;diener;nina;bild;eltern;fremden;unten;zustand;manchmal;tod;schritt;tisch;kopf;schöne;zorzi;gedanke;fühlt;dachte;obwohl;findet;blatt;hof;blumen;hinunter;vater;witwe;glaubt;stimme;innen;hört;wesens;halb;moment;lief;maske;mal;familie;kraft;lebens;spricht;mußte;durchs;fragte;mauer;hund;hinein;bilder;abelone;paar;müsse;mädchen;erinnerungen
Topic 4;mal;onkel;britt;einfach;brücker;stand;haus;dembrowski;geld;dachte;mußte;hand;bremer;fragte;saß;hamburg;lena;geschichte;tisch;is;all;kopf;tür;lolo;küche;moment;frauen;leute;mund;fenster;manchmal;mutter;ne;unten;paar;wohnung;kubin;wasser;zog;ließ;straße;langsam;lief;tatsächlich;wahrscheinlich;hause;vorsichtig;fast;begann;heißt;erzählte;sofort;erzählt;lag;sogar;nochmals;nich;obwohl;plötzlich;essen;standen;kaffee;lammers;jedesmal;außen;letzten;kinder;krieg;lagen;hörte;fuhr;genau;firma;blick;nachts;vorbei;nächsten;schreiben;sannchen;nee;wochen;gefragt;männer;rob;insel;nix;setzte;mark;innen;großmutter;heinz;büro;currywurst;nämlich;gesicht;godemann;bekam;hamburger;saßen;schnell
Topic 5;effendi;nil;asl;ben;allah;ibn;antwortete;reïs;el;fragte;mußte;effendina;hand;schnell;selim;rief;giebt;kamele;stand;weise;fakir;jedenfalls;asaker;wasser;geschehen;brunnen;gefangenen;nieder;gesicht;erfahren;weißt;hörte;sofort;emir;genau;hielt;abd;halten;tone;ließ;meinte;sage;chartum;wüste;nassyr;sklavenjäger;nämlich;schiff;liegen;thüre;vorher;kamel;that;murad;befindet;kennst;worte;hände;ufer;mudir;lag;faschodah;gehört;sprechen;kopf;vollständig;lieutenant;scheik;fast;dennoch;christ;wadi;meinst;alte;unten;befand;messer;mokkadem;legte;zog;befinden;männer;stelle;mußt;schiffe;hinab;unmöglich;leuten;sklaven;blieb;trat;seribah;sogar;absicht;feuer;abu;tier;führer;kamen;reiter
Topic 6;doralice;egloff;baron;fastrade;prinzessin;meinte;henning;amalie;kind;zimmer;stand;fragte;gesicht;erwiderte;sprechen;käthe;mädchen;meer;augen;begann;fuhr;hand;lydia;fräulein;schaute;hilmar;hause;baronin;rief;eugen;stimme;leise;dachhausen;lolo;dachte;georg;liebe;sprach;hedy;buttlär;still;abend;augenblick;generalin;billie;gingen;stehen;baronesse;gertrud;tür;schön;damen;karlchen;hinaus;burmann;standen;pauline;wandte;erasmus;lächelte;lachte;all;klang;saß;schloß;alte;schien;geheimrat;fühlte;versetzte;bitte;knospelius;kopf;setzte;mal;adriani;emma;denken;plötzlich;fast;doktor;weißen;stark;hörte;hübsch;bemerkte;müde;langsam;dame;lächeln;voll;tisch;agnes;hinein;lag;legte;zuweilen;schlafen;fenster;port
Topic 7;störtebecker;augen;claus;hand;haupt;blick;warf;stand;knaben;antlitz;brust;paar;erde;königin;tisch;fast;weib;voll;all;armen;hütte;admiral;knabe;murmelte;hob;lehnte;faust;solch;licinius;linda;hervor;riese;stirn;heino;begann;dicht;brach;wichmann;griff;empor;gestalt;schwarzen;seele;unten;mitten;junge;riß;schüttelte;neuem;tief;halb;schrie;stieß;meer;wandte;streckte;leib;vogt;schlug;höhe;mönch;augenblick;wilden;he;schleuderte;allmählich;auseinander;welch;glieder;fremden;zuckte;obwohl;lächeln;michael;stets;occa;gelächter;meinte;beugte;heftig;fuhr;mächtigen;abermals;freibeuter;gefährten;herab;margareta;geschah;bursche;blauen;völlig;jungen;raum;gesellen;gödeke;volk;längst;stürzte;gewalt;sage
Topic 8;leute;gekommen;stehen;bleiben;gesehen;namen;finden;stelle;hinaus;schien;augen;gehört;denken;sicher;bruder;gegeben;abend;mußten;gefunden;glaube;stunde;frage;angst;suchen;eigentlich;erde;freund;verlassen;herz;fragen;geld;kinder;schwester;nähe;gebracht;auge;sahen;frei;schwer;tod;warten;essen;erzählen;kennen;liegt;stunden;tief;seite;verloren;leise;ruhig;bitte;gegangen;glauben;wohin;anderer;wären;zeigen;worte;führen;frauen;sprechen;freude;gestern;sterben;antwort;tragen;tot;gehalten;einzige;könne;wunsch;zeichen;deutlich;arme;anderes;weder;sitzen;dunkel;gesprochen;erkennen;stellen;willen;reise;männer;fremde;grund;führte;komme;fertig;sehe;sogar;fällt;geblieben;herein;folgte;mut;erklärte;erfahren;verstehen
Topic 9;thekla;ward;oheim;johannes;hand;zetteritz;jungfer;sprach;gold;heinrich;vater;abendburg;schatz;herz;soldaten;herzen;auge;solle;stund;angesicht;jetzo;etliche;felsen;sibylle;liebe;berthulde;indessen;antwort;berge;blick;nebst;kind;gräfin;kamen;seno;gen;stein;hierauf;meinte;seele;entgegnete;agnete;rief;wolle;magdeburg;feind;fand;burg;aufs;sahe;schreiberhau;war's;wiewohl;fragte;wallenstein;falkenberg;antwortete;drum;minne;vorüber;stadt;weib;herzog;wasser;waldhäuser;hub;erhub;kirche;vernahm;unsern;himmel;himmelreich;tobias;getan;haupt;sinn;alsdann;segebodo;schmirsel;vernommen;hielt;dorten;waffen;vaters;magd;starrte;soldat;antlitz;herzens;fenster;oheims;kindlein;empor;zween;heil;hirschberg;halt;trost;nämlich;giacomini
